ticker,date,price_type,price
WFC,2022-04-19,close,47.83
WFC,2022-04-20,close,48.65
WFC,2022-04-21,close,47.78
WFC,2022-04-22,close,46.34
WFC,2022-04-25,close,45.83
WFC,2022-04-26,close,44.58
WFC,2022-04-27,close,44.58
WFC,2022-04-28,close,45.17
WFC,2022-04-29,close,43.63
WFC,2022-05-02,close,43.67
WFC,2022-05-03,close,44.16
WFC,2022-05-04,close,45.98
WFC,2022-05-05,close,44.76
WFC,2022-05-06,close,44.55
WFC,2022-05-09,close,43.96
WFC,2022-05-10,close,43.08
WFC,2022-05-11,close,42.57
WFC,2022-05-12,close,41.81
WFC,2022-05-13,close,42.64
WFC,2022-05-16,close,42.21
WFC,2022-05-17,close,43.71
WFC,2022-05-18,close,42.11
WFC,2022-05-19,close,42.0
WFC,2022-05-20,close,41.67
WFC,2022-05-23,close,43.82
WFC,2022-05-24,close,43.29
WFC,2022-05-25,close,44.12
WFC,2022-05-26,close,45.6
WFC,2022-05-27,close,45.89
WFC,2022-05-31,close,45.77
WFC,2022-06-01,close,45.16
WFC,2022-06-02,close,45.33
WFC,2022-06-03,close,44.82
WFC,2022-06-06,close,45.12
WFC,2022-06-07,close,45.47
WFC,2022-06-08,close,44.63
WFC,2022-06-09,close,42.67
WFC,2022-06-10,close,40.08
WFC,2022-06-13,close,38.99
WFC,2022-06-14,close,37.43
WFC,2022-06-15,close,38.17
WFC,2022-06-16,close,37.65
WFC,2022-06-17,close,38.48
WFC,2022-06-21,close,38.99
WFC,2022-06-22,close,38.6
WFC,2022-06-23,close,37.9
WFC,2022-06-24,close,40.76
WFC,2022-06-27,close,40.24
WFC,2022-06-28,close,40.18
WFC,2022-06-29,close,39.71
WFC,2022-06-30,close,39.17
WFC,2022-07-01,close,39.92
WFC,2022-07-05,close,40.1
WFC,2022-07-06,close,39.5
WFC,2022-07-07,close,40.12
WFC,2022-07-08,close,40.18
WFC,2022-07-11,close,39.79
WFC,2022-07-12,close,39.6
WFC,2022-07-13,close,39.07
WFC,2022-07-14,close,38.74
WFC,2022-07-15,close,41.13
WFC,2022-07-18,close,41.19
WFC,2022-07-19,close,42.9
WFC,2022-07-20,close,42.72
WFC,2022-07-21,close,43.28
WFC,2022-07-22,close,43.17
WFC,2022-07-25,close,43.5
WFC,2022-07-26,close,42.9
WFC,2022-07-27,close,43.71
WFC,2022-07-28,close,43.32
